# from spn projections from WannierBerri! (not PROCAR, from which the spin projections are kind of wrong)
# following the structure of PROCAR: all bands at 0th k-point, follows all bands at 1st k-point, ...
#  Sx	Sy	Sz
1.453576351196e-05 -1.330319719273e-05 9.671173095703e-01
5.395390417107e-06 -7.765631380607e-06 9.476747512817e-01
1.615205837879e-05 -1.434291334590e-05 9.999999403954e-01
-1.199012876896e-05 1.163490560430e-05 -9.415429830551e-01
-1.227792563441e-05 1.170560608443e-05 -9.628118276596e-01
-1.184537813970e-05 1.204708496516e-05 -9.999999403954e-01
-1.143737390521e-04 1.036196845234e-04 -9.999992251396e-01
1.151775286417e-04 -1.048666163115e-04 9.999942183495e-01
6.915311678313e-05 -3.462815220701e-05 -9.999731779099e-01
-7.014744915068e-05 3.524469866534e-05 9.999654889107e-01
4.663010986405e-05 1.138069364970e-05 9.808656573296e-01
2.979534656333e-05 8.733473805478e-06 9.940188527107e-01
7.327436469495e-05 -2.980312274303e-04 9.980757236481e-01
-6.533592386404e-05 2.491512568668e-04 -9.619082212448e-01
-9.743883856572e-05 2.229155688838e-05 -9.984749555588e-01
1.012354005070e-05 -2.679699537111e-05 -9.951593875885e-01
-6.040777952876e-05 2.573551610112e-04 9.783797264099e-01
6.935407873243e-05 -2.647897927091e-04 -9.986692667007e-01
-2.050401781162e-05 7.831391485524e-06 9.367769360542e-01
1.198462414322e-04 -7.787754293531e-05 9.981745481491e-01
-2.021182590397e-04 1.173158016172e-04 1.036154478788e-01
7.999021181604e-05 -3.648718484328e-05 -9.728159308434e-01
-2.644988228440e-07 -1.675333720641e-07 -6.393877267838e-01
-2.781836883514e-05 1.850602166087e-05 9.405167102814e-01
3.870648470183e-06 -9.584106010152e-06 9.997237920761e-01
1.461005467718e-05 -1.795520802261e-05 9.996972084045e-01
1.326930669165e-05 -1.172612610389e-05 9.774998426437e-01
-2.120713907061e-05 1.719796637190e-05 -9.745538830757e-01
-8.298470675072e-06 9.177259926219e-06 -9.951172471046e-01
-1.121387867897e-05 8.683794476383e-06 -9.989864826202e-01
-7.950571671245e-06 8.332432116731e-06 -9.996219277382e-01
-9.666106961959e-06 8.579694622313e-06 -9.828677773476e-01
2.474146822351e-05 -7.316048868233e-05 9.937821626663e-01
-2.788783785945e-05 7.645435835002e-05 -9.997698068619e-01
1.856291200966e-04 -6.631947326241e-05 9.999983310699e-01
2.726952880039e-05 -9.426625183551e-05 9.996063113213e-01
5.356218480301e-06 -3.461583401076e-05 9.987105131149e-01
-2.368249624851e-05 1.080162546714e-04 -9.994950294495e-01
-3.619718881964e-06 3.413279409870e-05 -9.985837340355e-01
-1.219730242155e-03 -2.194215310737e-03 9.967325925827e-01
1.218857360072e-03 2.342444146052e-03 -9.998557567596e-01
-1.022739343171e-05 -3.790531482082e-04 9.997991323471e-01
-3.575844748411e-04 5.412384052761e-04 -7.151448130608e-01
1.892876462080e-03 -2.255973173305e-03 -9.701134562492e-01
-1.523598446511e-03 2.045221626759e-03 7.213604450226e-01
-7.258586585522e-03 -1.112563721836e-02 9.760715961456e-01
8.426559157670e-03 1.153608225286e-02 -9.995728135109e-01
2.144349082300e-06 -6.017818232067e-04 9.981465935707e-01
-1.359994895756e-02 -1.285567041487e-02 9.983175992966e-01
1.393159292638e-02 1.271980814636e-02 -9.936688542366e-01
2.621159364935e-04 5.284842918627e-04 -9.988962411880e-01
1.391188561684e-04 -1.377335656434e-02 9.940350055695e-01
-7.128632278182e-04 1.827737502754e-02 -9.993155598640e-01
8.018529042602e-04 2.599336905405e-03 9.931452870369e-01
-2.351190894842e-03 -3.294188063592e-03 -9.934049248695e-01
-2.909934846684e-03 -1.158751267940e-02 9.974004626274e-01
3.054326632991e-03 1.176831871271e-02 -9.992447495461e-01
2.327120862901e-02 -1.371766626835e-02 9.853319525719e-01
-5.583445355296e-02 4.229912906885e-02 -9.823908209801e-01
-9.892350062728e-03 -1.702800393105e-02 -7.243522405624e-01
1.698357760906e-01 2.338120043278e-01 6.180770397186e-01
8.638495206833e-02 -1.013230755925e-01 8.173431158066e-01
1.080876439810e-01 -2.609822452068e-01 -6.823916435242e-01
-2.184218913317e-01 9.360758215189e-02 -5.707645416260e-01
-1.547430110804e-05 3.948429821321e-06 9.671167731285e-01
3.256599666202e-05 -2.350750946789e-05 9.476752281189e-01
1.701460132608e-05 -1.497540142736e-05 9.999999403954e-01
-1.190192233480e-05 1.180976050819e-05 -9.415434598923e-01
6.165129889268e-05 -3.094136627624e-05 -9.628116488457e-01
-8.178907592082e-05 5.250150570646e-05 -9.999998807907e-01
-1.165077090263e-03 7.118121720850e-04 -9.999983310699e-01
1.173403928988e-03 -7.169875898398e-04 9.999932646751e-01
-4.857289604843e-03 2.809955039993e-03 -9.999572634697e-01
4.951074253768e-03 -2.864060224965e-03 9.999490380287e-01
-1.306447852403e-02 7.571626920253e-03 9.820264577866e-01
3.053920716047e-02 -1.761088147759e-02 9.925858974457e-01
-5.432297475636e-03 2.830614335835e-03 9.960260987282e-01
-2.822859026492e-02 1.653816550970e-02 -9.688113927841e-01
4.121725261211e-02 -2.380248904228e-02 -9.898845553398e-01
-2.068544365466e-02 1.192170660943e-02 -9.951579570770e-01
1.931595057249e-02 -1.094816718251e-02 9.780948758125e-01
-1.591567695141e-02 8.983969688416e-03 -9.979862570763e-01
-1.379772368819e-02 7.962945848703e-03 9.362518787384e-01
-8.608031086624e-03 4.960025195032e-03 9.971258044243e-01
2.038893289864e-02 -1.176738832146e-02 -5.102533698082e-01
1.139508187771e-02 -6.572251208127e-03 -6.115500330925e-01
-2.100660465658e-02 1.212698780000e-02 -6.390869021416e-01
1.028767041862e-02 -5.937679205090e-03 9.390645623207e-01
4.426376835909e-04 -2.622142492328e-04 9.983219504356e-01
1.335363369435e-03 -7.805394125171e-04 9.996954202652e-01
2.916749566793e-03 -1.688511343673e-03 9.773944616318e-01
-4.951752256602e-03 2.863398520276e-03 -9.744135141373e-01
-1.878509938251e-04 1.128343574237e-04 -9.951330423355e-01
3.153156430926e-04 -1.830656547099e-04 -9.989269375801e-01
-9.634134476073e-04 5.567559855990e-04 -9.996170401573e-01
1.031061634421e-02 -5.950090009719e-03 -9.834504127502e-01
