# E (eV)	(E_wann - E_DFT)**2
-8.732937812805	2.703753689268e-07
-8.732937812805	2.703753689268e-07
-8.732468605042	2.770810271849e-07
-8.730957984924	2.849551960374e-07
-8.728403091431	2.867203023135e-07
-8.727236747742	2.547419148837e-07
-8.724811553955	2.857784559785e-07
-8.720183372498	2.789290821693e-07
-8.714522361755	2.695076440551e-07
-8.710245132446	2.180252277416e-07
-8.707822799683	2.527357917003e-07
-8.700098037720	2.430688803931e-07
-8.691348075867	2.388821607464e-07
-8.682285308838	1.737585127762e-07
-8.681572914124	2.357940310303e-07
-8.670781135559	2.353066184670e-07
-8.658978462219	2.351908690343e-07
-8.646164894104	2.286615475645e-07
-8.643900871277	1.411501269919e-07
-8.632350921631	2.211738423450e-07
-8.617542266846	2.151068828389e-07
-8.601744651794	2.127719713366e-07
-8.595849037170	1.373728132467e-07
-8.584964752197	2.154848587309e-07
-8.567215919495	2.278513117736e-07
-8.548498153687	2.388819100941e-07
-8.539023399353	1.354955014115e-07
-8.528825759888	2.490247728509e-07
-8.508204460144	2.503674238050e-07
-8.486647605896	2.443920549169e-07
-8.474508285522	1.204602212386e-07
-8.464172363281	2.383376929954e-07
-8.440789222717	2.331461648834e-07
-8.416511535645	2.309121162285e-07
-8.403560638428	9.250360252059e-08
-8.391352653503	2.305344528210e-07
-8.389749526978	8.501823582838e-07
-8.389749526978	8.501823582838e-07
-8.389080047607	8.527550241155e-07
-8.387345314026	8.597431352785e-07
-8.384543418884	8.588552885124e-07
-8.383228302002	8.269379970658e-07
-8.380674362183	8.414284845172e-07
-8.375739097595	8.071806443255e-07
-8.369741439819	7.696208358313e-07
-8.365329742432	2.309736000958e-07
-8.363741874695	7.593812321403e-07
-8.362674713135	7.288163405758e-07
-8.354548454285	7.113789464422e-07
-8.345357894897	7.118474755647e-07
-8.338465690613	2.339071124464e-07
-8.335105895996	7.282584872768e-07
-8.331542968750	6.845294976895e-07
-8.327566146851	5.385537196770e-08
-8.323797225952	7.539150863161e-07
-8.311432838440	7.729025685101e-07
-8.310773849487	2.305430276608e-07
-8.298012733459	7.720192297194e-07
-8.287047386169	6.404163641321e-07
-8.283541679382	7.562180683878e-07
-8.282278060913	2.222665660611e-07
-8.268022537231	7.358712023647e-07
-8.253003120422	2.114600268564e-07
-8.251460075378	7.269238516848e-07
-8.248040199280	2.024483852355e-08
-8.233854293823	7.322840250926e-07
-8.230817794800	6.415013271941e-07
-8.222976684570	2.017263728704e-07
-8.215212821960	7.586379270989e-07
-8.195535659790	7.897584666688e-07
-8.192230224609	1.964587722826e-07
-8.174832344055	8.200163716028e-07
-8.166586875916	2.833723850009e-09
-8.163546562195	6.664556820142e-07
-8.160795211792	1.935371317946e-07
-8.153103828430	8.295311291119e-07
-8.130358695984	8.198900051582e-07
-8.128712654114	1.924661238359e-07
-8.106601715088	7.952852406075e-07
-8.096037864685	1.977594504970e-07
-8.086055755615	6.702131350141e-07
-8.084818840027	1.307381104978e-09
-8.081841468811	7.715405128931e-07
-8.067619323730	4.847365279385e-10
-8.067619323730	4.847365279385e-10
-8.066325187683	8.848547948341e-10
-8.065885543823	6.019123976256e-10
-8.062822341919	2.024497210459e-07
-8.062418937683	7.421159030876e-10
-8.060677528381	4.644100804691e-10
-8.056083679199	7.566942473860e-07
-8.055912971497	3.917489515799e-10
-8.052019119263	5.617487825033e-10
-8.046833992004	4.697144803377e-10
-8.039923667908	4.615250550374e-10
-8.035190582275	5.332749155996e-10
-8.029335021973	7.523919548459e-07
-8.029129981995	2.008005463634e-07
-8.024435043335	6.550752961862e-10
-8.021010398865	7.166639992776e-10
-8.005584716797	5.623275883265e-10
-8.004320144653	7.477779309499e-10
-8.004301071167	1.227440934117e-08
-8.001605987549	7.572926304587e-07
-7.999327182770	6.377280176514e-07
-7.995057106018	2.032195314221e-07
-7.985158920288	5.841625400159e-10
-7.983438014984	7.113902865979e-10
-7.972908020020	7.648229351121e-07
-7.963589191437	9.956061380435e-10
-7.960707187653	2.072191107945e-07
-7.958054065704	7.931982531266e-10
-7.943249225616	7.611857226812e-07
-7.939648151398	8.435118334099e-10
-7.929520130157	1.476619406484e-09
-7.926389217377	3.106438700218e-08
-7.926220893860	2.141246276720e-07
-7.913421154022	1.103752397782e-09
-7.912639141083	7.392613234686e-07
-7.904494762421	5.487317099138e-07
-7.897911071777	1.827702524225e-09
-7.891790866852	2.269670087756e-07
-7.884974002838	7.666157157834e-10
-7.881093025208	7.080176169454e-07
-7.863317012787	7.940734126194e-10
-7.857676982880	2.399825971876e-07
-7.854419231415	6.862332168206e-10
-7.852130889893	5.593425353701e-08
-7.848627090454	6.804159140339e-07
-7.831175804138	2.689981371552e-07
-7.830226898193	2.503700969736e-07
-7.825891017914	9.200244799563e-10
-7.824275970459	2.655951054847e-07
-7.821877956390	9.188048835066e-10
-7.821603775024	2.662071584040e-07
-7.818684101105	2.021184884419e-07
-7.815256118774	6.631406427019e-07
-7.802925109863	4.205214090866e-07
-7.802196025848	2.649168728622e-07
-7.797043800354	1.345757703248e-07
-7.792141914368	2.874739685182e-07
-7.787489891052	1.128540493812e-09
