# E (eV)	(E_wann - E_DFT)**2
-5.706459999084	2.477277816054e-07
-5.706459999084	2.477277816054e-07
-5.705990791321	2.541482116868e-07
-5.704480171204	2.616918201149e-07
-5.701925277710	2.633834556842e-07
-5.700758934021	2.327733631689e-07
-5.698333740234	2.624807844890e-07
-5.693705558777	2.559182671790e-07
-5.688044548035	2.468972230900e-07
-5.683767318726	1.977385198190e-07
-5.681344985962	2.308558673004e-07
-5.673620223999	2.216210424932e-07
-5.664870262146	2.176241219457e-07
-5.655807495117	1.557011027129e-07
-5.655095100403	2.146770564062e-07
-5.644303321838	2.142119928152e-07
-5.632500648499	2.141015541569e-07
-5.619687080383	2.078739543746e-07
-5.617423057556	1.249239308417e-07
-5.605873107910	2.007376110029e-07
-5.591064453125	1.949597302765e-07
-5.575266838074	1.927371574397e-07
-5.569371223450	1.213718750789e-07
-5.558486938477	1.953195782089e-07
-5.540738105774	2.071014586552e-07
-5.522020339966	2.176238827059e-07
-5.512545585632	1.196076677906e-07
-5.502347946167	2.273097275093e-07
-5.481726646423	2.285925840964e-07
-5.460169792175	2.228845732242e-07
-5.448030471802	1.055080825960e-07
-5.437694549561	2.171044587024e-07
-5.414311408997	2.121508807546e-07
-5.390033721924	2.100200429256e-07
-5.377082824707	7.946215716665e-08
-5.364874839783	2.096598764484e-07
-5.363271713257	8.096393514481e-07
-5.363271713257	8.096393514481e-07
-5.362602233887	8.121499729934e-07
-5.360867500305	8.189700245729e-07
-5.358065605164	8.181034919783e-07
-5.356750488281	7.869598798058e-07
-5.354196548462	8.010972987402e-07
-5.349261283875	7.676889483033e-07
-5.343263626099	7.310705595478e-07
-5.338851928711	2.100786796350e-07
-5.337264060974	7.210915707183e-07
-5.336196899414	6.913152361644e-07
-5.328070640564	6.743351370602e-07
-5.318880081177	6.747913062180e-07
-5.311987876892	2.128767862847e-07
-5.308628082275	6.907719272957e-07
-5.305065155029	6.482009164988e-07
-5.301088333130	4.402186484731e-08
-5.297319412231	7.157652668742e-07
-5.284955024719	7.342691340042e-07
-5.284296035767	2.096680538619e-07
-5.271534919739	7.334081613876e-07
-5.260569572449	6.052940589095e-07
-5.257063865662	7.180092694994e-07
-5.255800247192	2.017786918101e-07
-5.241544723511	6.981866406918e-07
-5.226525306702	1.914886045860e-07
-5.224982261658	6.894721111348e-07
-5.221562385559	1.440735388290e-08
-5.207376480103	6.946926352885e-07
-5.204339981079	6.063488639704e-07
-5.196498870850	1.822315468918e-07
-5.188735008240	7.203672522285e-07
-5.169057846069	7.507006633550e-07
-5.165752410889	1.772266689095e-07
-5.148354530334	7.802079950089e-07
-5.140109062195	9.596991954539e-10
-5.137068748474	6.306164872325e-07
-5.134317398071	1.744522655805e-07
-5.126626014709	7.894896028783e-07
-5.103880882263	7.800847341238e-07
-5.102234840393	1.734355095607e-07
-5.080123901367	7.560892814146e-07
-5.069560050964	1.784621513057e-07
-5.059577941895	6.342716581154e-07
-5.058341026306	3.411897034193e-09
-5.055363655090	7.329415710372e-07
-5.041141510010	5.616321568900e-14
-5.041141510010	5.616321568900e-14
-5.039847373962	5.614187572385e-11
-5.039407730103	5.199231413768e-12
-5.036344528198	1.829190870821e-07
-5.035941123962	2.488097824370e-11
-5.034199714661	4.949753196256e-13
-5.029605865479	7.184732647472e-07
-5.029435157776	6.056874289547e-12
-5.025541305542	2.095312414372e-12
-5.020356178284	3.373557477511e-13
-5.013445854187	5.938035614230e-13
-5.008712768555	7.039633659441e-13
-5.002857208252	7.142811923539e-07
-5.002652168274	1.813516454798e-07
-4.997957229614	1.116039722441e-11
-4.994532585144	2.040202561381e-11
-4.979106903076	2.130802070987e-12
-4.977842330933	2.592650700065e-11
-4.977823257446	1.770061389553e-08
-4.975128173828	7.190563427299e-07
-4.972849845886	6.034211374886e-07
-4.968579292297	1.836508596451e-07
-4.958681106567	3.670036703847e-12
-4.956960678101	2.396119287116e-11
-4.946430206299	7.263945560847e-07
-4.937111854553	9.557689254412e-11
-4.934229850769	1.878670912096e-07
-4.931576728821	4.079238944447e-11
-4.916771888733	7.236610538948e-07
-4.913170814514	5.280044743284e-11
-4.903042793274	2.772199121374e-10
-4.899911880493	3.921501120355e-08
-4.899743080139	1.940246592925e-07
-4.886943817139	1.310082999381e-10
-4.886161804199	7.022878933609e-07
-4.878017425537	5.169428679024e-07
-4.871433258057	4.201646002914e-10
-4.865313529968	2.066917674519e-07
-4.858496665955	3.493924222423e-11
-4.854615211487	6.710626002399e-07
-4.836839675903	4.099104189932e-11
-4.831199645996	2.191207022958e-07
-4.827941894531	1.952906271707e-11
-4.825653076172	6.695568003866e-08
-4.822149276733	6.441981433181e-07
-4.804697990417	2.464095672528e-07
-4.803749084473	2.285951383768e-07
-4.799413681030	7.318839744141e-11
-4.797798156738	2.431530141515e-07
-4.795400619507	7.284470434050e-11
-4.795125961304	2.437386532282e-07
-4.792206764221	1.830119971287e-07
-4.788778305054	6.273919267028e-07
-4.776447296143	3.921546197646e-07
-4.775718688965	2.429739484740e-07
-4.770565986633	1.187436347464e-07
-4.765664100647	2.641058202311e-07
-4.761012077332	1.285964179318e-10
-4.759263992310	7.613041987835e-12
-4.755721092224	1.035389629305e-07
-4.754520416260	6.232798885516e-07
-4.748042106628	2.605067219264e-07
-4.740056037903	5.509488168688e-08
-4.735670089722	2.887694992546e-07
-4.724955558777	1.187866663033e-10
-4.719399452209	6.309236049530e-07
-4.716555595398	1.268888685532e-11
-4.715308189392	3.036516015908e-07
-4.709131240845	3.206290611923e-07
-4.703066825867	7.660049908244e-09
-4.690495491028	1.273828841082e-07
-4.687919616699	3.566098732937e-07
-4.687456130981	9.632602084589e-12
-4.684389114380	3.612851911428e-07
-4.683446884155	6.476140368496e-07
-4.674240112305	3.869429958870e-07
-4.671468734741	3.875794490845e-10
-4.669848442078	2.684885962654e-07
-4.669634819031	4.021805873346e-07
-4.669634819031	4.021805873346e-07
-4.663757324219	1.871867003943e-08
-4.648827552795	1.922796370406e-11
-4.646696090698	6.585895072775e-07
-4.630114555359	1.459693660085e-07
-4.627568244934	1.528515445972e-07
-4.624173164368	5.263021629178e-10
-4.609452247620	5.179984497129e-13
-4.609202384949	6.631997912660e-07
-4.597475051880	3.246404663116e-07
-4.592509269714	2.817774107876e-08
-4.592509269714	2.817774107876e-08
